Position,Track Name,Artist,Streams,Date,Region,1dayago,pos-1,-1top10,2dayago,pos-2,-2top10,3dayago,pos-3,-3top10,4dayago,pos-4,-4top10,5dayago,pos-5,-5top10,6dayago,pos-6,-6top10,7dayago,pos-7,-7top10,currtop10
3,Starboy,The Weeknd,3127938,2017-01-08,global,3460752,3,yes,3590301,3,yes,3579206,1,yes,3619247,1,yes,3563076,1,yes,3342769,1,yes,3135625,1,yes,yes
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2802693,2017-01-08,global,3083514,4,yes,3025226,5,yes,2990199,3,yes,2977555,3,yes,2892451,3,yes,2726981,3,yes,2356604,4,yes,yes
5,Closer,The Chainsmokers,2697878,2017-01-08,global,2998374,5,yes,3101351,4,yes,3202540,2,yes,3224594,2,yes,3175128,2,yes,3019058,2,yes,3015525,2,yes,yes
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2658820,2017-01-08,global,2795586,6,yes,2897927,6,yes,2898180,4,yes,2878313,4,yes,2710150,4,yes,2329762,6,yes,1857252,12,no,yes
7,Say You Won't Let Go,James Arthur,2371671,2017-01-08,global,2428183,10,yes,2477169,10,yes,2565362,7,yes,2555826,7,yes,2495021,7,yes,2263324,7,yes,1812335,13,no,yes
8,Don't Wanna Know,Maroon 5,2339709,2017-01-08,global,2571643,7,yes,2567090,7,yes,2573317,6,yes,2599826,6,yes,2565521,6,yes,2362830,5,yes,2107137,8,yes,yes
9,Fake Love,Drake,2288806,2017-01-08,global,2440886,9,yes,2481652,9,yes,2423689,9,yes,2427406,9,yes,2402911,8,yes,2241455,8,yes,2137437,6,yes,yes
10,Let Me Love You,DJ Snake,2197149,2017-01-08,global,2477080,8,yes,2565040,8,yes,2677274,5,yes,2680096,5,yes,2663869,5,yes,2524666,4,yes,2545384,3,yes,yes
11,I Feel It Coming,The Weeknd,2183331,2017-01-08,global,2411921,11,no,2472372,11,no,2470422,8,yes,2441812,8,yes,2338067,9,yes,2135229,10,yes,1949575,10,yes,no
12,24K Magic,Bruno Mars,2070404,2017-01-08,global,2323388,12,no,2343189,12,no,2295803,10,yes,2315382,10,yes,2280795,10,yes,2152569,9,yes,2111599,7,yes,no
13,Black Beatles,Rae Sremmurd,1934944,2017-01-08,global,2194177,13,no,2234965,13,no,2166093,11,no,2183966,11,no,2178247,11,no,2114909,11,no,2075732,9,yes,no
14,Call On Me - Ryan Riback Extended Remix,Starley,1912818,2017-01-08,global,2093312,15,no,2108340,14,no,2091684,12,no,2058218,12,no,1961999,14,no,1810528,15,no,1507320,18,no,no
15,Chantaje,Shakira,1897499,2017-01-08,global,2125156,14,no,2069444,15,no,2085940,13,no,2042231,13,no,1990513,13,no,1866507,13,no,1893214,11,no,no
16,Bad and Boujee (feat. Lil Uzi Vert),Migos,1746914,2017-01-08,global,1899936,18,no,1939642,17,no,1881634,18,no,1871126,18,no,1841773,17,no,1676078,17,no,1801707,14,no,no
17,Just Hold On,Steve Aoki,1742116,2017-01-08,global,1887106,19,no,1870908,20,no,1910581,17,no,1888869,17,no,1807536,18,no,1638543,19,no,1375005,22,no,no
18,One Dance,Drake,1703538,2017-01-08,global,1914426,17,no,1930010,18,no,1948976,15,no,1966480,15,no,2009154,12,no,1989817,12,no,2259887,5,yes,no
19,In the Name of Love,Martin Garrix,1670391,2017-01-08,global,1951364,16,no,2004765,16,no,1987716,14,no,1983348,14,no,1937665,15,no,1808723,16,no,1647944,16,no,no
20,Bad Things (with Camila Cabello),Machine Gun Kelly,1667236,2017-01-08,global,1730739,22,no,1769495,22,no,1763077,20,no,1765071,20,no,1689239,21,no,1478772,22,no,1257334,25,no,no
21,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1663606,2017-01-08,global,1851331,20,no,1915819,19,no,1921364,16,no,1936122,16,no,1919477,16,no,1830616,14,no,1731191,15,no,no
